;CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_ADDRESS1;EMPLOYER_ADDRESS2;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAIC_CODE;TOTAL WORKERS;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_WAGE_SOURCE;PW_WAGE_SOURCE_YEAR;PW_WAGE_SOURCE_OTHER;WAGE_RATE_OF_PAY;WAGE_UNIT_OF_PAY;H-1B_DEPENDENT;WILLFUL VIOLATOR;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE,,,
15;I-200-09296-661220;CERTIFIED;2014-10-29;2014-11-04;H-1B;02/03/2015;02/02/2018;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194.0;;JACQUELYN MARONEY;AUSTIN;TX;SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511.0;1.0;Y;113775.0;Year;;Other;2014.0;RADFORD GLOBAL TECHNOLOGY SURVEY;140000.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304,
16;I-200-09302-785109;CERTIFIED-WITHDRAWN;2012-02-02;2014-10-29;H-1B;04/25/2012;04/25/2015;VF CORPORATION;105 CORPORATE CENTER BLVD;;GREENSBORO;NC;27408;UNITED STATES OF AMERICA;;3364246142.0;;Scott Decker;ATLANTA;GA;PROJECT MANAGER (DIGITAL/ECOMMERCE);11-3021;COMPUTER AND INFORMATION SYSTEMS MANAGERS;541512.0;1.0;Y;110300.0;Year;;Other;2011.0;MERCER BENCHMARK DATABASE INFORMATION TECHNOLOGY SURVEY REPORT;125000 -;Year;N;N;CYPRESS;ORANGE;CA;90630,,,
17;I-200-09313-334737;CERTIFIED;2014-12-19;2014-12-29;H-1B;06/16/2015;06/15/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838.0;;JAMES ALEXANDER;WASHINGTON;DC;SYSTEMS ANALYSIS SENIOR;15-1121;COMPUTER SYSTEMS ANALYSTS;522294.0;1.0;Y;75200.0;Year;;Other;2014.0;HRA-NCA COMPENSATION SURVEY;75200 - 132500;Year;N;N;RESTON;FAIRFAX;VA;20190,,,
18;I-200-09316-752823;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;LANDRY'S RESTAURANTS, INC.;1510 WEST LOOP SOUTH;;HOUSTON;TX;77027;UNITED STATES OF AMERICA;;7133868016.0;;LAURIE SNIDER;DALLAS;TX;GENERAL MANAGER;11-9051.00;FOOD SERVICE MANAGERS;722110.0;1.0;Y;89569.0;Year;;DBA;2012.0;;109360 - 164040;Year;N;N;HOUSTON;HARRIS;TX;77027,,
19;I-200-09317-262420;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;LANDRY'S RESTAURANTS, INC.;1510 WEST LOOP SOUTH;;HOUSTON;TX;77027;UNITED STATES OF AMERICA;;7133867198.0;;LAURIE SNIDER;DALLAS;TX;GENERAL MANAGER;11-9051.00;FOOD SERVICE MANAGERS;722110.0;1.0;Y;56722.0;Year;Level IV;OES;2012.0;OFLC ONLINE DATA CENTER;69175 -;Year;N;N;ALBUQUERQUE;BERNALILLO;NM;87109,,
20;I-200-09321-731590;CERTIFIED;2014-12-18;2014-12-24;H-1B;01/12/2015;01/11/2018;PARSONS SERVICES COMPANY;100 WEST WALNUT STREET;;PASADENA;CA;91124;UNITED STATES OF AMERICA;;6264406033.0;;JEFFREY KIKUTA;LOS ANGELES;CA;SENIOR IT SPECIALIST;15-1141;DATABASE ADMINISTRATORS;551114.0;1.0;Y;108472.0;Year;Level IV;OES;2014.0;OFLC ONLINE DATA CENTER;110000 - 145000;Year;N;N;PAASADENA;LOS ANGELES;CA;91124,,,
21;I-200-09329-943146;CERTIFIED-WITHDRAWN;2015-01-14;2015-07-27;H-1B;05/31/2015;09/13/2017;DELPHI CORPORATION;5725 DELPHI DRIVE;;TROY;MI;48098;UNITED STATES OF AMERICA;;2488132000.0;;RYAN ADWERS;FARMINGTON HILLS;MI;ALGORITHM-STATE ESTIMATION DEVELOPMENT ENGINEER;17-2071;ELECTRICAL ENGINEERS;336399.0;1.0;Y;91936.0;Year;Level II;Other;2014.0;OFLC ONLINE DATA CENTER;91936 -;Year;N;N;AGOURA HILLS;LOS ANGELES;CA;91301,,,
22;I-200-09334-392690;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;DAIRY INFORMATION SYSTEMS HOLDINGS LLC;3333 S. BANNOCK STREET;SUITE 600;ENGLEWOOD;CO;80110;UNITED STATES OF AMERICA;;8478671062.0;;LAURIE SNIDER;DALLAS;TX;APPLICATIONS PROGRAMMING MANAGER;15-1051.00;COMPUTER SYSTEMS ANALYSTS;511210.0;1.0;Y;94411.0;Year;Level IV;OES;2012.0;OFLC DATA CENTER ONLINE;107872 -;Year;N;N;ENGLEWOOD;ARAPAHOE;CO;80110,,,
23;I-200-09338-814236;CERTIFIED-WITHDRAWN;2013-02-21;2015-01-19;H-1B;02/21/2013;09/21/2015;INTEGRATED RESOURCES, INC;4 ETHEL RD, SUITE 403B;;EDISON;NJ;08817;UNITED STATES OF AMERICA;;7325492030.0;;;;;OCCUPATIONAL THERAPISTS;29-1122;OCCUPATIONAL THERAPISTS;561320.0;1.0;Y;32.97;Hour;Level II;Other;2012.0;OFLC ONLINE DATACENTER;35.00 -;Hour;Y;N;VINELAND;CUMBERLAND;NJ;08362,
24;I-200-09341-564186;CERTIFIED-WITHDRAWN;2013-06-17;2015-01-26;H-1B;06/19/2013;06/19/2016;XPERT TECHNOLOGIES, INC.;205 HOUSE AVENUE SUITE#103;;CAMP HILL;PA;17011;UNITED STATES OF AMERICA;;4174833911.0;;;;;QUALITY ASSURANCE ANALYST;15-1799;COMPUTER OCCUPATIONS, ALL OTHER*;541511.0;1.0;Y;58282.0;Year;Level I;OES;2012.0;OFLC ONLINE DATA CENTRE;60000 -;Year;Y;N;CAMP HILL;CUMBERLAND;PA;17011,
25;I-200-09342-274341;CERTIFIED;2015-02-13;2015-02-22;H-1B;03/04/2015;03/03/2018;ISR INFO WAY, INC.;559 D'ONOFRIO DRIVE, SUITE 101 & 102;;MADISON;WI;53719;UNITED STATES OF AMERICA;;6088277884.0;;JOHN BOUDIA;SOUTHFIELD;MI;SR. SOFTWARE DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511.0;1.0;Y;84906.0;Year;Level III;Other;2014.0;OFLC ONLINE DATA CENTER;84906 - 105000;Year;Y;N;CHICAGO;COOK;IL;60601
26;I-200-09362-088372;CERTIFIED;2014-12-19;2014-12-26;H-1B;06/18/2015;06/17/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838.0;;JAMES ALEXANDER;WASHINGTON;DC;CREDIT GUARANTEE ANALYTICS SENIOR;15-2031;OPERATIONS RESEARCH ANALYSTS;522294.0;1.0;Y;64085.0;Year;Level I;OES;2014.0;OFLC ONLINE DATA CENTER;64100 - 127000;Year;N;N;MCLEAN;FAIRFAX;VA;22102,,,
27;I-200-09362-500914;CERTIFIED;2014-12-30;2015-01-07;H-1B;06/28/2015;06/27/2018;FEDERAL HOME LOAN MORTGAGE CORPORATION;8250 JONES BRANCH DRIVE;MSA3E;MCLEAN;VA;22102;UNITED STATES OF AMERICA;;7039188838.0;;JAMES ALEXANDER;WASHINGTON;DC;SHARED INFORMATION SUPPORT SENIOR;15-1141;DATABASE ADMINISTRATORS;522294.0;1.0;Y;90800.0;Year;;Other;2014.0;HRA-NCA COMPENSATION SURVEY REPORT;90800 - 120300;Year;N;N;MCLEAN;FAIRFAX;VA;22102,,,
28;I-200-09364-425868;CERTIFIED;2015-03-16;2015-03-20;H-1B;09/15/2015;09/15/2018;MAGIC CIRCLE FILMS INTERNATIONAL LLC;7 PULASKI STREET;;AUBURN;NY;13021;UNITED STATES OF AMERICA;;3152550370.0;;TIBBY BLUM;NEW YORK;NY;VIDEO EDITOR;27-4032;FILM AND VIDEO EDITORS;51219.0;1.0;Y;39333.0;Year;Level II;OES;2014.0;OFLC ONLINE DATA CENTER;50003.00 -;Year;N;N;AUBURN;CAYUGA;NY;13021,,,
29;I-200-10006-413683;WITHDRAWN;2015-03-10;2015-03-11;H-1B;04/16/2015;04/15/2018;SAPHIRE SOLUTIONS INC;523 GREEN STREET, 2ND FLOOR;;ISELIN;NJ;08830;UNITED STATES OF AMERICA;;8008189078.0;104.0;;;;SYSTEMS ADMINISTRATOR;15-1142;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;541511.0;1.0;Y;68638.0;Year;Level II;OES;2015.0;;79560 -;Year;Y;N;BETHPAGE;NASSAU;NY;11714,,
30;I-200-10028-389232;CERTIFIED;2015-01-29;2015-02-04;H-1B;01/29/2015;09/10/2017;SWANKTEK INC;510 FRANKLIN AVENUE, SUITE 7 & 8;;NUTLEY;NJ;07110;UNITED STATES OF AMERICA;;9735428326.0;;JOHN BOUDIA;SOUTHFIELD;MI;BI APPLICATIONS CONSULTANT;15-1121;COMPUTER SYSTEMS ANALYSTS;541511.0;1.0;Y;66602.0;Year;Level I;Other;2014.0;OFLC ONLINE DATA CENTER;70000 -;Year;Y;N;SAN JOSE;SANTA CLARA;CA;95112,,
31;I-200-10028-460244;CERTIFIED;2015-02-26;2015-03-04;H-1B;08/27/2015;08/26/2018;SUNERA TECHNOLOGIES, INC;631 E. BIG BEAVER, SUITE 109;;TROY;MI;48083;UNITED STATES OF AMERICA;;2485240222.0;103.0;;;;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;5415.0;1.0;Y;61901.0;Year;Level II;OES;2014.0;OFLC ONLINE DATA CENTER;65000 -;Year;Y;N;TROY;OAKLAND;MI;48083,
32;I-200-10033-402166;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;NATIONAL SEMICONDUCTOR CORPORATION;2900 SEMICONDUCTOR DRIVE;;SANTA CLARA;CA;95052;UNITED STATES OF AMERICA;;4087215000.0;;LAURIE SNIDER;DALLAS;TX;SENIOR APPLICATIONS ENGINEER;17-2071.00;ELECTRICAL ENGINEERS;334413.0;1.0;Y;75899.0;Year;Level II;OES;2012.0;OFLC DATA CENTER ONLINE;75899 - 110150;Year;N;N;LONGMONT;BOULDER;CO;80501,,,
33;I-200-10034-822100;CERTIFIED;2014-11-20;2014-11-26;H-1B;11/20/2014;09/13/2016;AMENSYS INC;860 HEBRON PKWY. SUITE 604;;LEWISVILLE;TX;75057;UNITED STATES OF AMERICA;;9728019970.0;101.0;;;;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511.0;1.0;Y;55744.0;Year;Level I;OES;2014.0;OFLC ONLINE DATA CENTER;60000 -;Year;Y;N;NASHVILLE;DAVIDSON;TN;37211,,,
34;I-200-10035-077428;CERTIFIED-WITHDRAWN;2013-05-15;2015-01-10;H-1B;05/15/2013;05/14/2016;AKT, LLC.;10 AUSTIN AVENUE;SUITE 2B;ISELIN;NJ;08830;UNITED STATES OF AMERICA;;7327073112.0;;SHEPARD MICHELLE;WOBURN;MA;JAVA DEVELOPER;15-1131;COMPUTER PROGRAMMERS;541519.0;1.0;Y;51210.0;Year;Level I;Other;2012.0;FLC DATA CENTER ONLINE WAGE LIBRARY;60000 -;Year;Y;N;COLUMBUS;DELAWARE;OH;43240,,
35;I-200-10040-339674;CERTIFIED-WITHDRAWN;2013-08-09;2015-04-17;H-1B;09/01/2013;08/31/2016;EXLSERVICE.COM, INC.;280 PARK AVENUE;38TH FLOOR;NEW YORK;NY;10017;UNITED STATES OF AMERICA;;2122777100.0;;GRANT SOVERN;MADISON;WI;ASSISTANT VICE PRESIDENT - DECISION ANALYTICS;11-3021;COMPUTER AND INFORMATION SYSTEMS MANAGERS;541611.0;1.0;Y;99715.0;Year;Level I;OES;2013.0;OFLC ONLINE DATA CENTER;121571 -;Year;N;N;JERSEY CITY;HUDSON;NJ;07302,,
36;I-200-10041-053406;WITHDRAWN;2014-10-13;2014-10-13;H-1B;10/13/2014;10/12/2017;H & H RESOURCES, INC.;15840 FM 529, SUITE 211;;HOUSTON;TX;77095;UNITED STATES OF AMERICA;;8322201205.0;;LAURIE SNIDER;DALLAS;TX;GRADUATE ENGINEER;17-2051.00;CIVIL ENGINEERS;541330.0;1.0;Y;52865.0;Year;;Other;2012.0;DIETRICH ENGINEERING SALARY SURVEY;54080 -;Year;N;N;SUGAR LAND;FORT BEND;TX;77478,
37;I-200-10050-565007;DENIED;2015-01-22;2015-01-29;H-1B;01/25/2015;01/25/2016;LHB, INC.;21 WEST SUPERIOR STREET;SUITE 500;DULUTH;MN;55802;UNITED STATES OF AMERICA;;2182792244.0;;DEBRA SCHNEIDER;MINNEAPOLIS;MN;SITE OPERATIONS MANAGER;15-2041.00;STATISTICIANS;541330.0;1.0;Y;20000.0;Year;Level I;OES;2015.0;FLC DATA;20000 -;Year;N;N;2 BARK;LEAF;LA;55401,,
38;I-200-10053-213884;CERTIFIED;2015-03-12;2015-03-18;H-1B;09/09/2015;09/08/2018;LIANG LLC;510 S. UNIVERSITY AVE.;;CARBONDALE;IL;62901;UNITED STATES OF AMERICA;;6183033753.0;;NANCY VIZER;CHICAGO;IL;FINANCIAL ANALYST;13-2051;FINANCIAL ANALYSTS;523999.0;1.0;N;23.61;Hour;Level I;OES;2014.0;OFLC ONLINE WAGE LIBRARY;25 -;Hour;N;N;CARBONDALE;JACKSON;IL;62901,,,
39;I-200-10068-389593;CERTIFIED;2015-01-29;2015-02-04;H-1B;02/09/2015;02/09/2018;BANK OF THE WEST;2527 CAMINO RAMON;;SAN RAMON;CA;94583;UNITED STATES OF AMERICA;;9258438696.0;;HARRY LEWIS;SAN FRANCISCO;CA;JAVA DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;522190.0;1.0;Y;84781.0;Year;Level II;OES;2014.0;OFLC ONLINE DATA CENTER;95000 -;Year;N;N;MONTEREY PARK;LOS ANGELES;CA;91755,,
40;I-200-10070-200317;CERTIFIED;2015-03-18;2015-03-24;H-1B;08/31/2015;08/30/2018;CONSULTWEBS.COM, INC.;9913 GRALYN RD.;;RALEIGH;NC;27613;UNITED STATES OF AMERICA;;9192728052.0;;JOHN PINNIX;RALEIGH;NC;VICE PRESIDENT (PROGRAMMING);15-1131;COMPUTER PROGRAMMERS;541613.0;1.0;Y;67371.0;Year;Level II;Other;2015.0;OFLC ONLINE DATA CENTER;135000.00 -;Year;N;N;RALEIGH;WAKE;NC;27615,,
41;I-200-10074-644541;CERTIFIED;2015-03-06;2015-03-18;H-1B;03/23/2015;03/23/2018;JARDEN CORPORATION;301 MERRITT 7, 5TH FLOOR;449 MAIN AVENUE;NORWALK;CT;06851;UNITED STATES OF AMERICA;;5613386737.0;;LAWRENCE RUDNICK;PHILADELPHIA;PA;LEAD PEOPLESOFT PROGRAMMER/ANALYST;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;3352.0;1.0;Y;102066.0;Year;Level IV;OES;2014.0;OFLC ONLINE DATA CENTER;102500 - 122900;Year;N;N;BOCA RATON;PALM BEACH;FL;33431,
42;I-200-10075-818637;CERTIFIED;2014-10-07;2014-10-14;H-1B;10/27/2014;10/26/2017;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194.0;;JACQUELYN MARONEY;AUSTIN;TX;SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511.0;1.0;Y;113775.0;Year;;Other;2014.0;RADFORD GLOBAL TECHNOLOGY SURVEY;132500.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304,
43;I-200-10076-237054;CERTIFIED;2015-02-17;2015-02-23;H-1B;08/17/2015;08/16/2018;EMINENCE IT SOLUTIONS, INC.;1135 KILDAIRE FARM RD;SUITE 319-2;CARY;NC;27511;UNITED STATES OF AMERICA;;9194682957.0;;MICHAEL BERGMAN;ISELIN;NJ;STAFF II, ENVIRONMENTAL STAFF ENGINEER;17-2081.00;ENVIRONMENTAL ENGINEERS;541511.0;1.0;Y;62504.0;Year;Level I;OES;2014.0;OFLC ONLINE DATA CENTER;70000.00 -;Year;Y;N;IRVING;DALLAS;TX;75039,
44;I-200-10076-701665;CERTIFIED;2014-10-07;2014-10-14;H-1B;10/27/2014;10/26/2017;VMWARE, INC.;3401 HILLVIEW AVE;;PALO ALTO;CA;94304;UNITED STATES OF AMERICA;;5128133194.0;;JACQUELYN MARONEY;AUSTIN;TX;MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511.0;1.0;Y;98557.0;Year;;Other;2014.0;RADFORD GLOBAL TECHNOLOGY SURVEY;112250.00 -;Year;N;N;PALO ALTO;SANTA CLARA;CA;94304,
45;I-200-10083-675557;CERTIFIED-WITHDRAWN;2013-01-22;2015-01-13;H-1B;02/18/2013;02/17/2016;WASHINGTON STATE UNIVERSITY;WASHINGTON STATE UNIV., INT'L PROGS-GLOBAL SERVICES;BRYAN HALL 108, PO BOX 645110;PULLMAN;WA;99164-5110;UNITED STATES OF AMERICA;;5093351348.0;;;;;TECHNICAL TRANSFER SPECIALIST;19-1029;BIOLOGICAL SCIENTISTS, ALL OTHER;611310.0;1.0;Y;39166.0;Year;Level I;OES;2012.0;OFLC ONLINE DATA CENTER;45000 -;Year;N;N;PROSSER;BENTON;WA;99350
